symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
NRG,power-gen,2026-04-08,159.81,2026-04-20,156.7,-0.01946359649880791,12,0.04838679969966808,-0.06785039619847599,False
PEG,power-gen,2024-03-20,60.04,2025-02-27,77.56,0.2918196088239047,344,0.134950882528883,0.1568687262950217,False
PEG,power-gen,2025-03-19,80.53,2025-03-25,78.88,-0.020570249387830253,6,0.01774037241636539,-0.038310621804195644,False
PEG,power-gen,2025-04-01,80.66,2025-04-03,79.0,-0.02053812927455978,2,-0.0432642420047179,0.02272611273015812,False
PEG,power-gen,2025-04-14,81.06,2025-04-21,77.74,-0.04087488636635317,7,-0.04681694323216112,0.005942056865807954,False
PEG,power-gen,2025-06-23,81.37,2025-06-25,80.8,-0.007079359936155605,2,0.011613764088878487,-0.01869312402503409,False
PEG,power-gen,2025-06-27,81.55,2025-07-01,80.92,-0.007782599153108638,4,0.004455978704195562,-0.0122385778573042,False
PEG,power-gen,2025-07-18,82.32,2025-08-25,80.65,-0.02028224448423821,38,0.023726172388654154,-0.044008416872892364,False
PEG,power-gen,2025-10-15,83.39,2025-10-28,79.98,-0.04083562052675194,13,0.032908956648316945,-0.07374457717506888,False
PEG,power-gen,2025-11-06,81.09,2025-11-19,79.82,-0.01565535728616263,13,-0.01145741187416327,-0.00419794541199936,False
PEG,power-gen,2025-11-26,81.93,2025-12-02,79.4,-0.030870807929313404,6,0.0027218879655777073,-0.03359269589489111,False
PEG,power-gen,2026-01-02,80.34,2026-01-05,78.71,-0.020372921946767986,3,0.006660113816063129,-0.027033035762831115,False
PEG,power-gen,2026-01-28,80.8,2026-02-02,79.67,-0.01399633376522158,5,-1.4345145431193806e-05,-0.013981988619790386,False
PEG,power-gen,2026-02-03,80.91,2026-02-04,79.5,-0.017410458552353347,1,-0.004843921678897134,-0.012566536873456213,False
PEG,power-gen,2026-02-09,80.53,2026-03-20,79.44,-0.013569580871566234,39,-0.06284135824610049,0.049271777374534254,False
PEG,power-gen,2026-04-08,82.7,2026-04-13,81.26,-0.017412271646308985,5,0.014925763930345726,-0.03233803557665471,False
D,power-gen,2024-03-20,43.45,2025-01-22,49.49,0.1390936251919448,308,0.1764458362462673,-0.037352211054322515,False
D,power-gen,2025-01-27,52.11,2025-03-06,50.8,-0.025074442175063605,38,-0.044479962213556656,0.01940552003849305,False
D,power-gen,2025-03-07,52.25,2025-03-12,50.83,-0.027164111656097334,5,-0.029604818947565836,0.0024407072914685024,False
D,power-gen,2025-03-14,51.74,2025-03-25,50.01,-0.03346747622283863,11,0.025552445158158577,-0.05901992138099721,False
D,power-gen,2025-03-28,52.03,2025-04-04,49.9,-0.04109851052117208,7,-0.09066696975241961,0.04956845923124753,False
D,power-gen,2025-05-01,51.88,2025-05-05,51.5,-0.007477765184615182,4,0.009024825593844321,-0.016502590778459503,False
D,power-gen,2025-05-07,52.19,2025-05-12,51.9,-0.005439674625353552,5,0.03891995341531196,-0.04435962804066551,False
D,power-gen,2025-05-15,52.08,2025-06-17,51.5,-0.011254494909340051,33,0.011973604350692169,-0.02322809926003222,False
ETN,electrical,2024-03-20,301.31,2024-08-05,266.73,-0.11476447910235155,138,-0.002749148942815194,-0.11201533015953635,False
ETN,electrical,2024-08-30,300.41,2024-09-05,279.65,-0.06910384761904764,6,-0.024960865114523556,-0.044142982504524086,False
ETN,electrical,2024-09-12,296.93,2025-01-27,305.79,0.02981933208741383,137,0.07895302678627858,-0.04913369469886475,False
ETN,electrical,2025-05-12,318.39,2025-11-20,326.27,0.024727774414039283,192,0.12570297387014828,-0.100975199456109,False
ETN,electrical,2026-01-16,341.74,2026-01-20,335.61,-0.017920011001925307,4,-0.020356785723545046,0.002436774721619739,False
ETN,electrical,2026-01-28,345.29,2026-03-06,345.71,0.0012379868126608518,37,-0.03313103744707813,0.03436902425973898,False
ETN,electrical,2026-03-09,351.8,2026-03-12,347.68,-0.011707268833098694,3,-0.018001788403529506,0.006294519570430812,False
ETN,electrical,2026-03-13,354.42,2026-03-30,342.58,-0.033398965855101714,17,-0.04317461150612034,0.009775645651018627,False
VRT,electrical,2024-03-20,77.64,2024-08-05,67.58,-0.12964363368806986,138,-0.002749148942815194,-0.12689448474525467,False
VRT,electrical,2024-08-30,82.84,2024-09-06,71.61,-0.1356136558540877,7,-0.04137103829419997,-0.09424261755988772,False
VRT,electrical,2024-09-11,82.2,2025-02-21,95.83,0.16575219969994714,163,0.08907615543797998,0.07667604426196717,False
GEV,electrical,2025-01-13,365.73,2025-04-04,270.68,-0.25988929727954413,81,-0.12829596274052668,-0.13159333453901745,False
POWL,electrical,2024-03-20,45.62,2025-02-18,69.14,0.5157761797126643,335,0.18624242336881713,0.3295337563438472,False
POWL,electrical,2025-07-02,72.65,2025-07-03,72.36,-0.003981055774268993,1,0.007881385954874975,-0.011862441729143969,False
HUBB,electrical,2024-03-20,395.42,2025-02-04,393.4,-0.00510493341320728,321,0.16740577109264443,-0.1725107045058517,False
HUBB,electrical,2025-06-24,398.18,2025-06-25,394.3,-0.009752152930140978,1,0.0005602631319470142,-0.010312416062087992,False
HUBB,electrical,2025-06-26,400.43,2026-05-19,460.12,0.14906753813300333,327,0.20933146623530274,-0.06026392810229941,False
NVT,electrical,2024-03-20,71.19,2024-08-02,63.32,-0.11058298873446493,135,0.02716584143549383,-0.13774883016995876,False
NVT,electrical,2024-09-19,69.29,2024-10-01,67.66,-0.02355612984494737,12,-0.0010785693337700408,-0.02247756051117733,False
NVT,electrical,2024-10-04,68.51,2024-11-01,67.3,-0.017639194894846222,28,-0.003385983220044353,-0.014253211674801869,False
NVT,electrical,2024-11-06,75.97,2024-12-17,71.58,-0.057739523316986285,41,0.022418099136171765,-0.08015762245315805,False
NVT,electrical,2025-01-21,74.02,2025-01-27,62.49,-0.1557156673981409,6,-0.00610231363433944,-0.14961335376380147,False
NVT,electrical,2025-05-12,66.01,2025-05-21,63.51,-0.037871890281618636,9,-0.00022290577640460274,-0.037648984505214034,False
NVT,electrical,2025-05-27,66.4,2025-06-02,64.13,-0.034214967781638794,6,0.0026388861475552527,-0.03685385392919405,False
AEIS,electrical,2024-05-09,101.28,2024-08-05,97.35,-0.03876517502679688,88,-0.0021549324172256412,-0.03661024260957124,False
AEIS,electrical,2024-08-15,107.48,2024-09-03,98.42,-0.08432626560666501,19,-0.0017900226575447986,-0.08253624294912021,False
AEIS,electrical,2024-09-26,103.37,2024-10-01,102.5,-0.008380664508516156,5,-0.0064301243035054245,-0.0019505402050107312,False
AEIS,electrical,2024-10-04,105.08,2025-03-03,107.15,0.019694602604305445,150,0.022260288826201124,-0.00256568622189568,False
AEIS,electrical,2025-05-01,108.03,2025-05-06,106.94,-0.010063634698789792,5,0.0005909618650516979,-0.01065459656384149,False
PWR,grid,2024-03-20,248.85,2025-02-13,290.47,0.16725846367420227,330,0.1828282245878048,-0.015569760913602515,False
MYRG,grid,2024-03-20,164.39,2024-05-03,143.92,-0.12452096415052427,44,-0.01765670383209972,-0.10686426031842455,False
MYRG,grid,2024-07-16,147.85,2024-07-17,140.81,-0.047615882680403065,1,-0.014020955362313514,-0.03359492731808955,False
MYRG,grid,2024-07-23,146.87,2024-07-24,141.21,-0.03853740444945353,1,-0.022662703341900237,-0.01587470110755329,False
MYRG,grid,2024-07-26,150.09,2024-07-29,143.5,-0.04390696581173115,3,0.0005880085853602335,-0.04449497439709138,False
